CO,NO,NO2,Nox,O3,PM10,PM2.5,SO2,WIND_DIREC,WIND_SPEED
0.29,1.3,7.9,9.2,22.6,31,19,1.4,6,1.5
0.3,0.8,7.4,8.2,22.5,27,22,1.9,6,1.9
0.27,0.8,6.6,7.4,23.8,25,17,1.7,5,1.6
0.25,0.9,5.4,6.4,24.9,28,19,1.6,11,1.4
0.26,0.8,5.7,6.5,24,21,13,1.8,358,1.3
0.25,1.2,5.7,7,24.6,26,14,1.8,359,1.4
0.25,0.8,6.5,7.3,23.6,26,15,1.7,7,1.4
0.27,0.8,8,8.8,20.2,31,18,1.7,0,1.8
0.28,1.9,7.7,9.6,25.5,28,19,2.2,16,2.2
0.27,2.4,7.5,10,27.5,30,18,2.2,22,2.4
0.28,2.6,6.4,9,31.4,33,17,2.1,349,2.4
0.31,2.8,7.4,10.2,35,36,18,2.7,358,2.5
0.37,3.5,9.5,13.1,37.6,52,22,3.5,349,2.7
0.33,2.7,9.3,12,41.5,50,22,3.8,350,2.6
0.32,1.5,8.5,10,45.7,51,25,3.2,338,2.3
0.33,1.3,8.9,10.2,45.1,57,27,3.1,344,2.3
0.32,1,9.4,10.4,41,51,20,2.8,347,2.5
0.32,0.4,10.9,11.3,33.1,55,26,2.7,353,1.9
0.37,0.6,11.3,12,29.5,51,25,3,7,1.8
0.43,1,10.8,11.8,26.7,40,21,2.8,8,1.9
0.35,0.7,11.7,12.4,24.7,52,39,2.6,8,1.7
0.36,0.9,11.3,12.3,22.9,53,38,2.6,4,1.2
0.31,0.6,9.8,10.5,21.7,41,23,2.1,16,1.1
0.3,,9.8,10.9,20.1,31,23,1.9,11,1.1
